time,wx,wy,wz
0.008277177810668945,-0.29,-0.13,-0.09
0.0186769962310791,-0.35,-0.23,-0.11
0.030483007431030273,-0.33,-0.19,-0.1
0.04182600975036621,-0.3,-0.08,-0.06
0.05008196830749512,-0.28,0.1,0.0
0.05848813056945801,-0.3,0.3,0.05
0.0686330795288086,-0.34,0.46,0.08
0.07908892631530762,-0.38,0.57,0.09
0.08877396583557129,-0.43,0.62,0.09
0.09942889213562012,-0.46,0.57,0.06
0.11215090751647949,-0.46,0.49,0.04
0.12072014808654785,-0.4,0.39,0.0
0.12957119941711426,-0.28,0.32,-0.03
0.1455540657043457,-0.12,0.26,-0.04
0.14942622184753418,0.05,0.25,-0.02
0.16004490852355957,0.19,0.23,0.02
0.16936421394348145,0.22,0.15,0.07
0.17960309982299805,0.19,0.05,0.15
0.18938088417053223,0.18,-0.08,0.19
0.19979500770568848,0.24,-0.23,0.17
0.21110010147094727,0.35,-0.32,0.13
0.2200450897216797,0.54,-0.33,0.09
0.24514222145080566,1.03,-0.2,0.07
0.24688100814819336,1.03,-0.2,0.07
0.2500178813934326,1.13,0.05,0.15
0.2599210739135742,1.12,0.31,0.29
0.2699310779571533,1.11,0.53,0.49
0.2802720069885254,1.29,0.63,0.66
0.2900841236114502,1.7,0.62,0.65
0.3000319004058838,2.18,0.57,0.38
0.3105330467224121,2.59,0.39,-0.06
0.3234431743621826,2.73,0.32,-0.44
0.34088587760925293,2.62,0.81,-0.57
0.34259605407714844,2.62,0.81,-0.57
0.35283398628234863,2.92,0.69,-0.41
0.36336302757263184,3.25,0.2,-0.26
0.3726389408111572,3.08,-0.21,-0.07
0.3816549777984619,2.36,-0.29,0.11
0.39163804054260254,1.6,-0.35,0.13
0.4021310806274414,0.8,-0.46,0.06
0.41109204292297363,-0.0,-0.38,0.0
0.42102503776550293,-0.86,-0.0,-0.16
0.4414341449737549,-2.05,0.53,-0.92
0.44333505630493164,-2.05,0.53,-0.92
0.4526560306549072,-2.15,0.71,-1.22
0.461259126663208,-1.79,0.57,-1.35
0.4712340831756592,-1.07,0.22,-1.33
0.4812891483306885,-0.24,-0.25,-1.31
0.49178600311279297,0.47,-0.69,-1.37
0.5024521350860596,0.84,-0.7,-1.41
0.5150701999664307,0.78,-0.26,-1.25
0.5295178890228271,0.41,0.48,-0.92
0.5316710472106934,-0.11,1.29,-0.5
0.5457489490509033,-0.55,1.72,-0.15
0.5516159534454346,-0.72,1.56,0.1
0.5619029998779297,-0.63,0.83,0.23
0.5717179775238037,-0.37,-0.1,0.18
0.5821058750152588,-0.14,-0.89,-0.07
0.59194016456604,-0.1,-1.31,-0.4
0.6022279262542725,-0.21,-1.46,-0.66
0.6118810176849365,-0.38,-1.42,-0.81
0.6232669353485107,-0.5,-1.2,-0.85
0.6430909633636475,-0.33,-0.89,-0.89
0.6450169086456299,-0.33,-0.89,-0.89
0.6524460315704346,-0.11,-1.05,-0.97
0.6625721454620361,0.11,-1.27,-1.03
0.6723611354827881,0.27,-1.56,-1.05
0.6827008724212646,0.32,-1.86,-0.98
0.6927120685577393,0.21,-2.01,-0.84
0.7034909725189209,-0.02,-1.96,-0.67
0.7129991054534912,-0.15,-1.92,-0.51
0.7230370044708252,-0.02,-2.13,-0.4
0.7328221797943115,0.31,-2.48,-0.38
0.745380163192749,0.67,-2.76,-0.45
0.7530350685119629,0.89,-2.66,-0.48
0.7634279727935791,0.91,-2.25,-0.36
0.7730991840362549,0.87,-1.83,-0.21
0.7839028835296631,0.71,-1.25,-0.03
0.7942180633544922,0.11,-0.22,0.28
0.804548978805542,-0.6,0.09,0.8
0.8150730133056641,-0.51,-1.2,0.95
0.8268148899078369,0.52,-2.77,0.39
0.8467819690704346,2.71,-2.6,-1.13
0.8494510650634766,2.71,-2.6,-1.13
0.8546121120452881,2.92,-1.59,-1.19
0.86403489112854,2.58,-0.78,-0.89
0.8737490177154541,1.56,-0.08,-0.48
0.8838479518890381,-0.02,0.45,-0.31
0.8943889141082764,-1.67,0.57,-0.63
0.90413498878479,-2.92,0.38,-1.26
0.9178988933563232,-3.74,0.23,-1.76
0.9267230033874512,-4.17,0.32,-1.95
0.94805908203125,-3.95,0.98,-1.67
0.9504249095916748,-3.95,0.98,-1.67
0.9544742107391357,-3.71,1.16,-1.54
0.964271068572998,-3.53,1.04,-1.57
0.9742681980133057,-3.31,0.49,-1.69
0.9845921993255615,-2.84,-0.31,-1.82
0.994438886642456,-2.11,-0.95,-1.88
1.0046799182891846,-1.27,-1.18,-1.8
1.0145351886749268,-0.52,-0.83,-1.57
1.0248591899871826,-0.06,0.02,-1.27
1.046302080154419,0.13,1.34,-0.79
1.0483450889587402,0.13,1.34,-0.79
1.0549061298370361,0.1,1.26,-0.7
1.0659170150756836,0.11,0.81,-0.77
1.0750160217285156,0.14,0.25,-0.96
1.085341215133667,0.13,-0.17,-1.2
1.0951812267303467,0.06,-0.47,-1.41
1.1056880950927734,-0.06,-0.57,-1.48
1.1181471347808838,-0.15,-0.53,-1.43
1.1287529468536377,-0.12,-0.45,-1.34
1.1356379985809326,0.07,-0.45,-1.3
1.1500341892242432,0.29,-0.54,-1.32
1.1555249691009521,0.52,-0.68,-1.42
1.1662709712982178,0.7,-0.8,-1.51
1.175652027130127,0.75,-0.9,-1.55
1.18595290184021,0.7,-0.97,-1.51
1.1957628726959229,0.67,-1.03,-1.42
1.2059760093688965,0.9,-1.08,-1.33
1.219364881515503,1.37,-1.08,-1.27
1.227396011352539,1.93,-1.02,-1.2
1.2525360584259033,2.35,-1.46,-0.69
1.2542591094970703,2.35,-1.46,-0.69
1.2573978900909424,1.58,-1.57,-0.17
1.266296148300171,0.64,-1.37,0.14
1.2762460708618164,0.3,-1.37,-0.02
1.2863550186157227,0.86,-2.04,-0.56
1.301037073135376,1.88,-2.82,-1.04
1.3085129261016846,2.61,-2.83,-1.13
1.322106122970581,2.91,-2.24,-0.91
1.3295481204986572,3.02,-1.47,-0.78
1.3365452289581299,2.91,-0.92,-0.86
1.3513500690460205,2.54,-0.77,-1.03
1.3579142093658447,1.87,-0.91,-1.12
1.367021083831787,1.06,-1.29,-1.12
1.3771522045135498,0.31,-1.56,-1.2
1.3869750499725342,-0.38,-1.48,-1.39
1.397266149520874,-0.99,-0.99,-1.54
1.4070041179656982,-1.47,-0.31,-1.51
1.417085886001587,-1.73,0.24,-1.36
1.4277091026306152,-1.76,0.58,-1.3
1.4411499500274658,-1.51,0.63,-1.39
1.4531018733978271,-1.11,0.4,-1.58
1.457679033279419,-0.73,-0.03,-1.85
1.4678928852081299,-0.41,-0.52,-2.08
1.4776890277862549,-0.14,-0.85,-2.24
1.4890739917755127,0.06,-0.9,-2.26
1.4978711605072021,0.16,-0.66,-2.13
1.5077250003814697,0.13,-0.13,-1.81
1.517967939376831,-0.02,0.46,-1.38
1.5337181091308594,-0.13,0.76,-1.0
1.5387330055236816,-0.11,0.75,-0.79
1.5508410930633545,0.0,0.56,-0.67
1.5579490661621094,0.14,0.26,-0.61
1.5683670043945312,0.26,-0.09,-0.58
1.5783531665802002,0.34,-0.51,-0.57
1.5882890224456787,0.37,-0.91,-0.57
1.5985100269317627,0.35,-1.19,-0.5
1.6097030639648438,0.3,-1.3,-0.34
1.6186749935150146,0.31,-1.31,-0.16
1.6285030841827393,0.41,-1.33,-0.05
1.6404712200164795,0.57,-1.41,-0.01
1.653259038925171,0.71,-1.5,-0.03
1.6586790084838867,0.79,-1.59,-0.14
1.668795108795166,0.77,-1.68,-0.31
1.678718090057373,0.63,-1.68,-0.47
1.689026117324829,0.38,-1.59,-0.55
1.6990249156951904,0.12,-1.46,-0.48
1.70912504196167,-0.05,-1.36,-0.23
1.7190539836883545,-0.13,-1.31,0.08
1.7293369770050049,-0.15,-1.31,0.3
1.7394258975982666,-0.27,-1.27,0.35
1.754305124282837,-0.57,-1.0,0.32
1.7592852115631104,-0.94,-0.66,0.29
1.769468069076538,-1.01,-0.91,0.18
1.779458999633789,-0.58,-1.57,-0.13
1.7916150093078613,0.07,-1.66,-0.57
1.8022050857543945,0.6,-1.26,-0.99
1.811772108078003,0.99,-0.64,-1.28
1.8211829662322998,1.1,-0.01,-1.31
1.8323040008544922,0.87,0.59,-1.1
1.8399231433868408,0.42,1.22,-0.88
1.8546950817108154,-0.02,1.54,-0.77
1.860016107559204,-0.45,1.45,-0.69
1.8703339099884033,-0.95,1.12,-0.6
1.8800840377807617,-1.47,0.69,-0.58
1.8902652263641357,-1.93,0.33,-0.67
1.9002130031585693,-2.25,0.22,-0.84
1.9109132289886475,-2.34,0.25,-1.06
1.920384168624878,-2.18,0.31,-1.21
1.9307119846343994,-1.82,0.31,-1.2
1.940650224685669,-1.37,0.2,-1.06
1.957036018371582,-0.91,0.06,-0.88
1.9607751369476318,-0.5,-0.05,-0.77
1.9722568988800049,-0.25,-0.09,-0.75
1.9808590412139893,-0.28,0.02,-0.69
1.9909698963165283,-0.59,0.28,-0.42
2.000817060470581,-1.01,0.51,-0.08
2.011094093322754,-1.31,0.61,0.15
2.020803213119507,-1.37,0.56,0.24
2.0337140560150146,-1.15,0.4,0.19
2.0409750938415527,-0.75,0.16,0.07
2.053719997406006,-0.31,-0.06,-0.06
2.0612990856170654,0.03,-0.21,-0.16
2.0715219974517822,0.24,-0.33,-0.24
2.0813920497894287,0.31,-0.45,-0.29
2.091391086578369,0.31,-0.5,-0.28
2.1017491817474365,0.28,-0.47,-0.24
2.111501932144165,0.29,-0.44,-0.26
2.121758222579956,0.38,-0.5,-0.35
