time,wx,wy,wz
0.0067920684814453125,-0.4,-0.31,0.02
0.016273975372314453,-0.4,-0.33,0.03
0.026901960372924805,-0.38,-0.26,0.04
0.03813791275024414,-0.33,-0.23,0.07
0.04701089859008789,-0.26,-0.18,0.13
0.056787967681884766,-0.2,-0.06,0.1
0.06725096702575684,-0.11,0.12,0.02
0.07719612121582031,-0.06,0.33,-0.02
0.0867929458618164,-0.04,0.52,0.0
0.09686899185180664,-0.04,0.59,0.08
0.10753893852233887,-0.08,0.52,0.17
0.11709213256835938,-0.11,0.36,0.21
0.12774896621704102,-0.13,0.44,0.14
0.13921689987182617,-0.15,0.35,0.03
0.14992499351501465,-0.19,0.19,-0.1
0.1567859649658203,-0.24,0.11,-0.19
0.16723012924194336,-0.24,0.07,-0.23
0.1774129867553711,-0.23,0.03,-0.2
0.18720102310180664,-0.19,0.01,-0.1
0.19746685028076172,-0.13,0.05,0.01
0.20800209045410156,-0.06,0.18,0.07
0.21732592582702637,-0.02,0.3,0.08
0.22739505767822266,-0.02,0.35,0.06
0.23972606658935547,-0.07,0.31,0.03
0.24983501434326172,-0.19,0.17,0.03
0.2569880485534668,-0.4,-0.06,0.08
0.26737213134765625,-0.66,-0.19,0.16
0.2776679992675781,-0.9,-0.2,0.21
0.28741002082824707,-1.08,-0.13,0.2
0.2972879409790039,-1.25,0.03,0.17
0.30791401863098145,-1.35,0.19,0.21
0.31744384765625,-1.38,0.31,0.28
0.3280458450317383,-1.37,0.4,0.34
0.3394927978515625,-1.39,0.42,0.38
0.3492588996887207,-1.5,0.37,0.39
0.35771799087524414,-1.69,0.23,0.41
0.36792993545532227,-1.9,0.17,0.46
0.37895798683166504,-2.04,0.24,0.58
0.3876519203186035,-2.14,0.2,0.7
0.39790892601013184,-2.18,0.2,0.89
0.4083371162414551,-2.13,0.43,1.1
0.4178338050842285,-2.11,0.97,1.36
0.428131103515625,-2.19,1.53,1.59
0.4408597946166992,-2.41,1.94,1.7
0.45050907135009766,-2.74,2.14,1.61
0.45749402046203613,-3.15,2.28,1.34
0.4678521156311035,-3.61,2.4,1.0
0.47778797149658203,-4.06,2.48,0.74
0.4885540008544922,-4.5,2.63,0.65
0.49896907806396484,-4.81,3.09,0.73
0.5076308250427246,-4.94,3.67,0.84
0.5179250240325928,-5.09,4.33,1.01
0.5280051231384277,-5.16,4.93,1.2
0.5397679805755615,-5.16,5.32,1.34
