time,wx,wy,wz
0.004893064498901367,0.05,0.02,-0.08
0.014976978302001953,0.08,-0.12,-0.06
0.024893999099731445,0.14,-0.18,-0.03
0.04208493232727051,0.19,-0.15,0.04
0.04658198356628418,0.17,-0.14,0.13
0.055580854415893555,0.09,-0.15,0.2
0.06550812721252441,-0.03,-0.08,0.2
0.07578396797180176,-0.2,0.04,0.14
0.08564496040344238,-0.38,0.14,0.07
0.09640717506408691,-0.52,0.17,0.01
0.10617804527282715,-0.5,0.05,-0.06
0.11652302742004395,-0.25,0.04,-0.14
0.12617182731628418,0.13,0.05,-0.27
0.14679884910583496,0.65,-0.31,-0.51
0.15005803108215332,0.65,-0.31,-0.51
0.15484905242919922,0.64,-0.28,-0.44
0.16546297073364258,0.42,-0.05,-0.3
0.17642712593078613,0.16,0.15,-0.24
0.1855909824371338,-0.08,0.25,-0.32
0.19571495056152344,-0.22,0.11,-0.5
0.20581603050231934,-0.18,-0.28,-0.69
0.21595501899719238,0.01,-0.77,-0.83
0.22578883171081543,0.22,-1.17,-0.85
0.24752593040466309,0.22,-1.38,-0.55
0.25001001358032227,0.22,-1.38,-0.55
0.25541186332702637,-0.06,-0.69,-0.34
0.26575398445129395,-0.33,-0.01,-0.13
0.2757430076599121,-0.57,0.31,0.03
0.2859179973602295,-0.72,0.19,0.08
0.29615187644958496,-0.82,-0.1,0.02
0.30622100830078125,-0.85,-0.34,-0.09
0.31588292121887207,-0.78,-0.39,-0.25
0.32601284980773926,-0.6,-0.22,-0.39
0.35007309913635254,-0.18,0.08,-0.66
0.3510911464691162,-0.18,0.08,-0.66
0.35547494888305664,-0.09,0.17,-0.66
0.36763787269592285,-0.17,0.19,-0.46
0.3757951259613037,-0.41,0.01,-0.19
0.38638997077941895,-0.74,-0.22,0.12
0.39620304107666016,-0.98,-0.42,0.47
0.40618205070495605,-1.13,-0.39,0.87
0.41605496406555176,-1.24,-0.04,1.12
0.426102876663208,-1.3,0.15,1.23
0.44812989234924316,-1.25,-0.82,1.16
0.4508979320526123,-1.25,-0.82,1.16
0.45569705963134766,-1.09,-1.19,1.13
0.4660918712615967,-0.73,-1.43,1.11
0.4759800434112549,-0.28,-1.74,0.91
0.48630499839782715,0.18,-1.86,0.46
0.49651098251342773,0.58,-1.62,-0.15
0.5063230991363525,0.92,-1.36,-0.69
0.5166490077972412,0.83,-0.88,-0.92
0.5266430377960205,0.64,-0.79,-0.88
0.5478408336639404,-0.06,-0.83,-0.45
0.5508191585540771,-0.06,-0.83,-0.45
0.5558600425720215,-0.41,-0.73,-0.29
0.5662510395050049,-0.61,-0.58,-0.21
0.5761139392852783,-0.68,-0.51,-0.18
0.5858981609344482,-0.68,-0.54,-0.17
0.5966489315032959,-0.57,-0.48,-0.13
0.6065740585327148,-0.4,-0.3,-0.1
0.6166110038757324,-0.25,-0.05,-0.08
0.6264650821685791,-0.23,0.16,-0.07
0.6493799686431885,-0.29,0.46,-0.06
0.6504490375518799,-0.29,0.46,-0.06
0.6562988758087158,-0.26,0.48,0.02
0.6664540767669678,-0.09,0.54,0.35
0.6764419078826904,0.25,0.5,0.75
0.6866919994354248,0.68,0.21,0.88
0.6968491077423096,1.1,-0.27,0.65
0.7065210342407227,1.42,-0.78,0.17
0.7167761325836182,1.64,-1.15,-0.22
0.7271029949188232,1.7,-1.15,-0.33
0.7505760192871094,1.37,-0.83,0.07
0.75180983543396,1.37,-0.83,0.07
0.756173849105835,1.33,-0.72,0.25
0.7677929401397705,1.43,-0.93,0.1
0.7763030529022217,1.65,-1.27,-0.26
0.7866151332855225,1.95,-1.39,-0.61
0.7974059581756592,2.25,-1.08,-0.78
0.8067581653594971,2.5,-0.4,-0.73
0.8169028759002686,2.69,0.36,-0.56
0.8269860744476318,2.79,0.77,-0.4
0.8494589328765869,2.57,0.01,-0.25
0.8504559993743896,2.57,0.01,-0.25
0.8559749126434326,2.35,-0.9,-0.12
0.8666441440582275,2.01,-1.58,0.04
0.8765480518341064,1.41,-1.5,0.16
0.88667893409729,0.64,-0.8,0.31
0.8968169689178467,-0.13,0.03,0.43
0.9069478511810303,-0.66,0.73,0.47
0.9170620441436768,-0.88,0.95,0.35
0.9269649982452393,-0.79,0.76,0.04
0.9515211582183838,-0.13,0.12,-0.43
0.9517838954925537,-0.13,0.12,-0.43
0.9565050601959229,0.24,-0.02,-0.45
0.9669110774993896,0.56,-0.08,-0.37
0.9782178401947021,0.78,-0.02,-0.27
0.9874279499053955,0.87,0.12,-0.18
