time,wx,wy,wz
0.0037279129028320312,0.22,-0.6,-0.07
0.019456863403320312,0.36,-0.14,-0.21
0.021013736724853516,0.48,0.16,-0.14
0.035463809967041016,0.51,0.09,0.05
0.041420936584472656,0.54,-0.13,0.23
0.052736759185791016,0.58,-0.19,0.36
0.061476707458496094,0.63,-0.11,0.39
0.07173871994018555,0.67,0.01,0.32
0.08237791061401367,0.71,0.11,0.23
0.09351968765258789,0.7,0.18,0.13
0.11813187599182129,0.58,0.21,-0.0
0.11870670318603516,0.58,0.21,-0.0
0.12192583084106445,0.46,0.18,-0.03
0.13204193115234375,0.33,0.12,-0.04
0.14370298385620117,0.19,0.06,-0.04
0.15227174758911133,0.07,0.04,-0.04
0.162261962890625,-0.01,0.05,-0.05
0.17242980003356934,-0.06,0.08,-0.07
0.18331670761108398,-0.09,0.13,-0.09
0.19434881210327148,-0.08,0.18,-0.12
0.22053003311157227,-0.04,0.21,-0.25
0.2213606834411621,-0.04,0.21,-0.25
0.22314071655273438,-0.04,0.21,-0.27
0.23256969451904297,-0.02,0.21,-0.27
0.24393486976623535,0.04,0.22,-0.28
0.2529129981994629,0.1,0.22,-0.29
0.26273679733276367,0.17,0.18,-0.29
0.2740478515625,0.26,0.09,-0.28
0.28368687629699707,0.34,0.02,-0.28
0.2946767807006836,0.42,-0.04,-0.3
0.32008981704711914,0.47,-0.07,-0.31
0.32066774368286133,0.47,-0.07,-0.31
0.32276201248168945,0.43,-0.06,-0.31
0.33327293395996094,0.35,-0.04,-0.29
0.34459877014160156,0.25,-0.03,-0.25
0.35355567932128906,0.15,-0.01,-0.21
0.3637359142303467,0.06,0.04,-0.17
0.37477779388427734,-0.01,0.08,-0.17
0.38433170318603516,-0.06,0.1,-0.19
0.39452695846557617,-0.06,0.09,-0.21
0.42061471939086914,-0.01,-0.05,-0.21
0.4213089942932129,-0.01,-0.05,-0.21
0.4240736961364746,0.02,-0.13,-0.21
0.43445587158203125,0.06,-0.16,-0.21
0.44601988792419434,0.11,-0.17,-0.2
0.45422792434692383,0.15,-0.14,-0.19
0.464174747467041,0.17,-0.04,-0.16
0.4739689826965332,0.17,0.06,-0.12
0.48552799224853516,0.14,0.12,-0.06
0.49677181243896484,0.07,0.0,0.01
0.5223498344421387,-0.15,-0.96,0.21
0.5235199928283691,-0.15,-0.96,0.21
0.5257818698883057,-0.15,-1.43,0.29
0.5346670150756836,-0.07,-1.82,0.41
0.545712947845459,0.0,-1.99,0.58
0.5547688007354736,0.05,-1.99,0.86
0.5647728443145752,0.08,-1.75,1.15
0.575706958770752,0.08,-1.28,1.28
0.5856878757476807,0.03,-0.64,1.08
0.5971448421478271,-0.12,0.05,0.53
0.6254439353942871,-0.49,0.19,-0.1
0.6259918212890625,-0.49,0.19,-0.1
0.6278069019317627,-0.49,0.19,-0.1
0.6351728439331055,-0.62,-0.34,-0.01
0.6467957496643066,-0.93,-0.6,0.0
0.6555798053741455,-1.42,-1.22,0.04
0.6653189659118652,-1.99,-2.09,0.12
0.6760950088500977,-2.44,-3.05,0.17
0.6862778663635254,-2.46,-3.51,0.19
0.6984608173370361,-2.0,-3.08,0.06
0.7209978103637695,-1.17,-1.38,-0.71
0.7221508026123047,-1.17,-1.38,-0.71
0.7253847122192383,-1.13,-0.68,-1.03
0.7362856864929199,-1.23,-0.13,-1.14
0.7461059093475342,-1.35,0.3,-1.03
0.7563338279724121,-1.25,0.61,-0.81
0.7661178112030029,-0.86,0.91,-0.59
0.7774219512939453,-0.28,1.11,-0.45
0.7868456840515137,0.37,1.18,-0.46
0.7996618747711182,0.92,1.12,-0.58
0.8230209350585938,1.62,0.85,-1.0
0.8238098621368408,1.62,0.85,-1.0
0.8260917663574219,1.86,0.77,-1.21
0.8370089530944824,2.09,0.7,-1.35
0.8485317230224609,2.29,0.67,-1.4
0.8569188117980957,2.44,0.73,-1.34
0.8668348789215088,2.58,0.87,-1.15
0.87664794921875,2.68,1.03,-0.83
0.886868953704834,2.72,1.21,-0.54
0.9004960060119629,2.65,1.33,-0.29
0.9219427108764648,2.08,1.37,-0.19
0.9228208065032959,2.08,1.37,-0.19
0.9267330169677734,1.64,1.15,-0.33
0.9372768402099609,1.17,0.85,-0.56
0.947300910949707,0.62,0.48,-0.66
0.9575808048248291,0.11,0.19,-0.68
0.9678878784179688,-0.39,-0.06,-0.61
0.9783468246459961,-0.87,-0.2,-0.49
0.9880979061126709,-1.28,-0.33,-0.34
1.0005788803100586,-1.58,-0.43,-0.24
1.0235388278961182,-1.87,-0.92,-0.23
1.024244785308838,-1.87,-0.92,-0.23
1.0275187492370605,-1.99,-1.34,-0.24
1.0380139350891113,-2.24,-1.66,-0.28
1.0492520332336426,-2.61,-1.8,-0.37
1.0581297874450684,-3.07,-1.75,-0.56
1.0681257247924805,-3.48,-1.62,-0.83
1.0781548023223877,-3.6,-1.44,-1.12
1.0892729759216309,-3.29,-1.13,-1.31
1.10142183303833,-2.24,-0.72,-1.29
1.123121738433838,0.56,-1.28,-0.53
1.1243278980255127,0.56,-1.28,-0.53
1.1279239654541016,1.32,-1.58,-0.24
1.138739824295044,1.52,-1.49,-0.22
1.1486806869506836,1.36,-1.11,-0.38
1.1587467193603516,1.2,-0.56,-0.53
1.1686809062957764,1.17,0.02,-0.61
1.1787419319152832,1.27,0.49,-0.69
1.1888909339904785,1.46,0.82,-0.81
1.2008898258209229,1.68,1.08,-0.98
1.208925724029541,1.89,1.29,-1.12
1.2239837646484375,2.07,1.4,-1.18
1.2286458015441895,2.24,1.39,-1.16
1.2393317222595215,2.39,1.34,-1.06
1.2492778301239014,2.49,1.36,-0.9
1.259495735168457,2.52,1.46,-0.71
1.2693877220153809,2.47,1.61,-0.53
1.280242919921875,2.35,1.75,-0.39
1.2903079986572266,2.16,1.77,-0.32
1.3015918731689453,1.96,1.61,-0.34
1.3256969451904297,1.56,0.86,-0.45
1.326598882675171,1.56,0.86,-0.45
1.3297119140625,1.28,0.46,-0.48
1.3400187492370605,0.89,0.2,-0.49
1.35121488571167,0.44,0.08,-0.45
1.3601007461547852,-0.02,0.03,-0.34
1.3710079193115234,-0.47,-0.05,-0.17
1.3806347846984863,-0.89,-0.15,0.02
1.390699863433838,-1.23,-0.26,0.21
1.402796745300293,-1.48,-0.36,0.38
1.4263818264007568,-1.69,-0.51,0.55
1.4272708892822266,-1.69,-0.51,0.55
1.430285930633545,-1.67,-0.56,0.56
1.4405848979949951,-1.58,-0.57,0.55
1.451575756072998,-1.42,-0.5,0.51
1.4607868194580078,-1.22,-0.37,0.44
1.4707880020141602,-1.01,-0.27,0.37
1.4816548824310303,-0.81,-0.21,0.31
1.490473747253418,-0.67,-0.15,0.21
1.5033838748931885,-0.63,-0.17,0.08
1.526413917541504,-1.05,-0.6,-0.17
1.5268816947937012,-1.05,-0.6,-0.17
1.5306119918823242,-1.32,-0.88,-0.23
1.5420079231262207,-1.56,-1.12,-0.2
1.5523247718811035,-1.71,-1.26,-0.1
1.561391830444336,-1.76,-1.21,0.11
1.5713977813720703,-1.54,-0.98,0.36
1.581373691558838,-1.07,-0.86,0.49
1.5915348529815674,-0.57,-0.95,0.46
1.6032068729400635,-0.17,-0.94,0.29
1.6115717887878418,-0.11,-0.81,-0.02
1.627281904220581,-0.37,-0.53,-0.32
1.6313986778259277,-0.69,-0.23,-0.45
1.6420459747314453,-0.85,0.05,-0.38
1.6520538330078125,-0.74,0.24,-0.14
1.6619048118591309,-0.34,0.38,0.14
1.6718719005584717,0.25,0.45,0.35
1.6820049285888672,0.81,0.51,0.34
1.6933228969573975,1.33,0.51,0.18
1.70414400100708,1.76,0.37,-0.02
1.7273240089416504,2.22,-0.04,-0.44
1.728287696838379,2.22,-0.04,-0.44
1.7319538593292236,2.32,-0.05,-0.56
1.7425968647003174,2.39,0.13,-0.55
1.7544569969177246,2.43,0.48,-0.45
1.7626118659973145,2.39,0.85,-0.32
1.7727258205413818,2.29,1.1,-0.2
1.7835488319396973,2.14,1.21,-0.09
1.7925548553466797,1.93,1.09,-0.0
1.8052277565002441,1.64,0.86,0.04
1.8298077583312988,0.86,0.38,0.02
1.8305330276489258,0.86,0.38,0.02
1.8322408199310303,0.44,0.19,0.01
1.843315839767456,0.01,0.03,0.03
1.85481595993042,-0.39,-0.1,0.07
1.8632769584655762,-0.76,-0.19,0.11
1.8732588291168213,-1.04,-0.2,0.13
1.8845276832580566,-1.24,-0.2,0.14
1.893960952758789,-1.36,-0.24,0.18
1.9053549766540527,-1.41,-0.31,0.26
1.9306559562683105,-1.34,-0.26,0.43
1.9314208030700684,-1.34,-0.26,0.43
1.9333178997039795,-1.25,-0.12,0.46
1.943950891494751,-1.2,-0.04,0.44
1.9537429809570312,-1.22,-0.01,0.36
1.9638867378234863,-1.33,-0.08,0.2
1.9741129875183105,-1.53,-0.32,-0.03
1.9842488765716553,-1.75,-0.66,-0.22
1.9945058822631836,-1.93,-1.09,-0.32
2.0066888332366943,-1.95,-1.49,-0.28
2.0328807830810547,-0.97,-1.67,0.18
2.033975839614868,-0.13,-1.76,0.35
2.0350990295410156,-0.13,-1.76,0.35
2.044461727142334,0.49,-1.88,0.32
2.0573298931121826,0.63,-1.71,0.11
2.0644779205322266,0.06,-1.3,-0.2
2.0745887756347656,-0.94,-0.67,-0.51
2.0846328735351562,-1.72,0.08,-0.63
2.0947349071502686,-1.9,0.68,-0.46
2.1071786880493164,-1.53,1.04,-0.19
2.1303887367248535,0.28,1.14,-0.06
2.130908966064453,0.28,1.14,-0.06
2.1345179080963135,1.2,0.9,-0.29
2.1466948986053467,1.91,0.65,-0.55
2.156944751739502,2.42,0.52,-0.74
2.165128707885742,2.76,0.52,-0.78
2.175311803817749,2.95,0.63,-0.69
2.1853017807006836,3.04,0.85,-0.53
2.1961958408355713,3.07,1.11,-0.35
2.2075889110565186,3.02,1.33,-0.17
2.2174108028411865,2.91,1.42,-0.04
2.2337069511413574,2.74,1.39,0.05
2.2352190017700195,2.53,1.23,0.1
2.256708860397339,1.93,0.84,0.11
2.2586889266967773,1.93,0.84,0.11
2.2658677101135254,1.5,0.61,0.06
2.2762339115142822,1.0,0.35,-0.0
2.2860116958618164,0.48,0.12,-0.04
2.2968997955322266,-0.04,0.0,-0.04
2.30816388130188,-0.52,-0.06,0.01
2.332390785217285,-1.21,-0.05,0.25
2.332969903945923,-1.21,-0.05,0.25
2.3358817100524902,-1.29,-0.09,0.39
