time,wx,wy,wz
0.008668899536132812,-0.33,0.06,-0.01
0.009245872497558594,-0.33,0.06,-0.01
0.028657913208007812,-0.11,0.71,-0.0
0.029840946197509766,-0.11,0.71,-0.0
0.03757905960083008,-0.06,1.03,0.01
0.048191070556640625,-0.02,1.25,0.04
0.05847787857055664,0.0,1.37,0.06
0.06762290000915527,-0.01,1.44,0.1
0.07760286331176758,-0.02,1.46,0.17
0.08811593055725098,-0.04,1.41,0.22
0.10097980499267578,-0.12,1.2,0.25
0.11028194427490234,-0.22,0.95,0.25
0.12484598159790039,-0.32,0.72,0.25
0.130126953125,-0.38,0.53,0.22
0.14073801040649414,-0.39,0.38,0.18
0.15056896209716797,-0.36,0.28,0.14
0.16021490097045898,-0.29,0.08,0.1
0.16940784454345703,-0.22,-0.11,0.06
0.18014001846313477,-0.19,-0.21,0.03
0.1902627944946289,-0.19,-0.22,0.01
0.2003169059753418,-0.23,-0.22,0.0
0.22656679153442383,-0.12,0.09,-0.0
0.22665190696716309,-0.12,0.09,-0.0
0.22899484634399414,0.1,0.56,-0.03
0.24109196662902832,0.45,1.17,0.0
0.25063586235046387,0.88,1.81,0.14
0.25983095169067383,1.25,2.38,0.36
0.2705059051513672,1.43,2.74,0.57
0.28069591522216797,1.35,2.86,0.62
0.2899928092956543,1.06,2.79,0.51
0.32430386543273926,-0.1,1.2,0.11
0.32526683807373047,-0.1,1.2,0.11
0.32545900344848633,-0.1,1.2,0.11
0.32988405227661133,-0.32,0.85,0.01
0.34096384048461914,-0.39,0.68,-0.14
0.3516230583190918,-0.31,0.72,-0.22
0.3610539436340332,-0.04,0.94,-0.13
0.37181997299194336,0.38,1.39,0.15
0.38134002685546875,0.83,2.18,0.51
0.3918149471282959,1.29,3.18,0.76
0.42706775665283203,1.66,5.98,0.28
0.4299139976501465,1.66,5.98,0.28
0.4303429126739502,1.66,5.98,0.28
0.4323310852050781,1.34,6.48,-0.06
0.44245481491088867,1.06,6.76,-0.29
0.45256495475769043,0.82,6.96,-0.35
0.46244287490844727,0.54,7.14,-0.34
0.47443103790283203,0.22,5.17,-0.42
0.48241496086120605,-0.21,3.27,-1.15
0.4923567771911621,-0.64,0.92,-1.92
0.5247879028320312,-1.93,1.32,-2.93
0.5266590118408203,-1.93,1.32,-2.93
0.5270729064941406,-1.93,1.32,-2.93
0.5315890312194824,-1.78,1.93,-3.26
0.5426230430603027,-1.4,2.38,-3.41
0.5521998405456543,-0.83,2.64,-3.46
0.5629720687866211,-0.09,2.92,-3.59
0.5721149444580078,0.77,2.76,-3.65
0.582603931427002,1.35,2.14,-3.47
0.5932309627532959,1.4,1.65,-3.24
0.6259059906005859,0.54,0.77,-2.72
0.6277799606323242,0.54,0.77,-2.72
0.6281890869140625,0.54,0.77,-2.72
0.6329078674316406,0.64,0.37,-2.62
0.6433079242706299,0.96,-0.18,-2.66
0.6543829441070557,1.27,-1.21,-2.91
0.6637177467346191,1.4,-2.18,-3.17
0.6730060577392578,1.51,-2.67,-3.18
0.6838397979736328,1.83,-2.63,-3.06
0.6968498229980469,2.6,-1.96,-3.07
0.7277998924255371,4.65,0.5,-4.19
0.7290449142456055,4.65,0.5,-4.19
0.7293047904968262,4.65,0.5,-4.19
0.7337660789489746,4.7,0.86,-4.44
0.744074821472168,4.56,1.03,-4.32
0.7558469772338867,4.29,1.21,-3.86
0.7648749351501465,3.9,1.77,-3.21
0.7753009796142578,3.34,2.48,-2.61
0.7856287956237793,2.7,2.89,-2.16
0.7948269844055176,2.15,2.75,-1.76
